segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
9:122449269-133497234	SBS1	1	1	2	0	0
9:122449269-133497234	SBS5	1	1	15	0	0
9:133498409-140273200	SBS5	1	1	11	0	0
9:21388473-24054957	SBS5	1	0	3	0	0
9:224324-2839983	SBS5	1	0	2	0	0
9:24054958-28674510	SBS5	3	1	10	3	1
9:2839984-21388472	SBS1	3	1	2	0	1
9:2839984-21388472	SBS5	3	1	39	2	0
9:28674511-29313376	SBS1	1	1	1	0	0
9:28674511-29313376	SBS5	1	1	1	0	0
9:29313377-36881366	SBS1	3	1	1	1	5
9:29313377-36881366	SBS5	3	1	13	2	5
9:37093790-40065201	SBS1	1	1	1	0	0
9:37093790-40065201	SBS5	1	1	2	0	0
9:40065202-47299999	SBS1	1	1	3	0	0
9:40065202-47299999	SBS5	1	1	5	0	0
9:50700000-66822202	SBS1	1	1	1	0	0
9:66822203-69954672	SBS5	1	1	4	0	0
9:69954673-120520715	SBS1	1	1	8	0	0
9:69954673-120520715	SBS5	1	1	60	0	0
X:1-45888730	SBS1	1	0	10	0	0
X:1-45888730	SBS5	1	0	76	0	0
X:45888766-58099999	SBS1	1	0	3	0	0
X:45888766-58099999	SBS5	1	0	22	0	0
X:58100000-62999999	SBS1	1	0	1	0	0
X:58100000-62999999	SBS5	1	0	8	0	0
X:63000000-155270559	SBS1	1	0	11	0	0
X:63000000-155270559	SBS5	1	0	203	0	0
Y:1-11599999	SBS1	1	0	6	0	0
Y:1-11599999	SBS5	1	0	14	0	0
Y:13885606-19394601	SBS5	1	0	11	0	0
Y:19394602-22755177	SBS5	1	0	2	0	0
Y:22755178-59373565	SBS1	1	0	1	0	0
Y:22755178-59373565	SBS5	1	0	5	0	0
